Incorrect 	Correct 
अनुसंधान	अनुसन्धान
अंतर	अन्तर
अंधकार	अन्धकार
अंधविश्वास	अन्धविश्वास
अमलेखगंज	अमलेखगञ्ज
अवधी	अवधि
अस्थी	अस्थि
अध्यात्मिक	आध्यात्मिक
आंदोलन	आन्दोलन
आवेस	आवेश
इंटरनेट	इन्टरनेट
इमान्दारि	इमान्दारी
इंच	इन्च
उज्वल	उज्ज्वल
उनकि	उनकी
उसकि	उसकी
उसरि	उसरी
औषधी	औषधि
कटी	कटि
कंटक	कण्टक
कंठ	कण्ठ
कंप्युटर	कम्प्युटर
कसरि	कसरी
काकि	काकी
कांग्रेस	काङ्ग्रेस
काग्रेस	काङ्ग्रेस
काठमाण्डु	काठमाडौँ
काठमाण्डौं	काठमाडौँ
काठमान्डु	काठमाडौँ
कास्कि	कास्की
कुंज	कुञ्ज
कृषी	कृषि
केंद्रीय	केन्द्रीय
केन्द्रिय	केन्द्रीय
कौसि	कौसी
क्रांती	क्रान्ति
गंगा	गङ्गा
गुन्यु	गुन्यू
गुल्मि	गुल्मी
गोरि	गोरी
ग्रंथ	ग्रन्थ
घंटा	घण्टा
घन्टा	घण्टा
घंटी	घण्टी
घन्टी	घण्टी
चिम्टि	चिम्टी
छोरि	छोरी
जेनवरी	जनवरी
जसरि	जसरी
जहिं	जहीँ
ज्ञानि	ज्ञानी
झंझा	झञ्झा
टैक्सी	ट्याक्सी
टोपि	टोपी
ठांउ	ठाउँ
डालि	डाली
ढंग	ढङ्ग
तत्व	तत्त्व
तपाइं	तपाईँ
तपाई	तपाईँ
तपाईं	तपाईँ
तिनि	तिनी
तिमि	तिमी
त्यसरि	त्यसरी
त्यहिं	त्यहीँ
दक्षीण	दक्षिण
दंत	दन्त
दिदि	दिदी
दुइ	दुई
द्धारा	द्वारा
नगरपालीका	नगरपालिका
नंद	नन्द
नाभी	नाभि
नियंत्रण	नियन्त्रण
निति	नीति
नेपालि	नेपाली
नोकरि	नोकरी
नवंबर	नोभेम्बर
पछी	पछि
पंचायत	पञ्चायत
पनी	पनि
पंथ	पन्थ
पन्यु	पन्यू
परंपरा	परम्परा
परिक्षा	परीक्षा
पश्चीम	पश्चिम
पस्चिम	पश्चिम
पश्चिमि	पश्चिमी
पानि	पानी
पिठ्युँ	पिठ्यूँ
पुर्ब	पूर्व
पुर्व	पूर्व
पूर्वि	पूर्वी
पृष्ट	पृष्ठ
प्रबंधन	प्रवन्धन
प्रवेस	प्रवेश
प्रारंभ	प्रारम्भ
फ़	फ
फर्सि	फर्सी
फुपु	फुपू
फ्रांस	फ्रान्स
फ्रेञ्च	फ्रेन्च
फैक्टरी	फ्याक्ट्री
बंद	बन्द
बहिनि	बहिनी
बहीनि	बहिनी
बहीनी	बहिनी
बाढ	बाढी
बेहोशि	बेहोशी
बैटरी	ब्याट्री
भाउजु	भाउजू
भैंसि	भैंसी
भोली	भोलि
मंच	मञ्च
मंत्री	मन्त्री
मंदिर	मन्दिर
में	मा
माइजु	माइजू
मिठाइ	मिठाई
यसरि	यसरी
यहिं	यहीँ
रंग	रङ्ग
रवी	रवि
रानि	रानी
राम्ररि	राम्ररी
राम्रि	राम्री
रीती	रीति
रुची	रुचि
लिंग	लिङ्ग
लिपी	लिपि
बर्ष	वष
बसंत	वसन्त
वसंत	वसन्त
विध्या	विद्या
व्यापारि	व्यापारी
शक्ती	शक्ति
शंख	शङ्ख
शांत	शान्त
शिर्षक	शीर्षक
सँगित	संगीत
सँग्रहालय	संग्रहालय
संसदिय	संसदीय
संक्रमण	सङ्क्रमण
संघ	सङ्घ
 संग 	सँग 
संत	सन्त
समावेस	समावेश
संपत्ति	सम्पत्ति
संप्रदाय	सम्प्रदाय
संफाल	सम्फाल
संबन्धित	सम्बन्धित
संभव	सम्भव
संभावना	सम्भावना
संमान	सम्मान
सलाइ	सलाई
सालि	साली
सासु	सासू
सीपाही	सिपाही
सिपाहि	सिपाही
सुचना	सूचना
स्तंभ	स्तम्भ
स्वास्नि	स्वास्नी
हैल्थ	हेल्थ
हानी	हानि
हामि	हामी
हाम्रि	हाम्री
पुर्याएको	पुर्‍याएको
रास्ट्र	राष्ट्र
वि,स.	विक्रम सम्वत
वि. सं	विक्रम सम्वत
आफुलाइ	आफूलाई
ईन्डिया	इन्डिया
पुर्याइ	पुर्‌याइ
सान्ती	शान्ति
कंगो	कङ्गो
प्रशंनैय	प्रशंसनीय
अनुशार	अनुसार
पूस्तक	पुस्तक
आवस्यक	आवश्यक
प्रसँग	प्रसङ्ग
सान्दर्भीक	सान्दर्भिक
सूनको	सुनको
मुर्ती	मूर्ति
शनिवार	शनिबार
मंगलवार	मङ्गलबार
मनोकांछा	मनोकाङ्क्षा
गरियको	गरिएको
संदर्भ	सन्दर्भ
बाहिरिय	बाहिरी
लिंकहरू	लिङ्कहरु
 यक 	 एक 
पर्मुख	प्रमुख
 रात्रि 	 रात्री 
अबिस्थित	अवस्थित
 इस्ट 	 इष्ट 
ईनार	इनार
मुस्लिमहरुको	मुसलमानहरूको
उधेश्यले	उदेश्यले
अन्तार्गत	अन्तर्गत
सदाबाहर	सदाबहार
जलावायू	जलावायु
गा.बि.स	गाविस
धार्मीक	धार्मिक
वर्डा	वडा
अबलोकन	अवलोकन
पुर्ब	पूर्व
थरहरु	थरहरू
प्रतिबद्ध	प्रतिवद्ध
अबसर	अवसर
जिल्लाहरु	जिल्लाहरू
मगरहरु	मगरहरू
संकलित	सङ्कलित
तथयांक	तथ्याङ्क
तथ्यांक	तथ्याङ्क
संचालित	सञ्चालित
कम्पनि	कम्पनी
प्राचिन	प्राचीन
बिभिन्न	विभिन्न
लडि	लडी
संगठित	सङ्गठित
पउरुसार्थी	पुरुषार्थी
लडाइ	लडाईँ
लिङ्कहरु	लिङ्कहरू
ओखलढुंगा	ओखलढुङ्गा
बिरेन्द्र	वीरेन्द्र
बीरेन्द्र	वीरेन्द्र
भस्म	भष्म
बिकास	विकास
पछडी	पछाडि
अगाडी	अगाडि
संचालन	सञ्चालन
लिईन्छ	लिइन्छ
साबिक	साविक
ठाँउ	ठाउँ
गाँउ	गाउँ
थपिंदा	थपिँदा
गाबिस	गाविस
माथी	माथि
सेप्टम्बर	सेप्टेम्बर
सम्बत	सम्वत
संवत्	सम्वत
ग्रीनविच	ग्रिनविच
गरिदै	गरिँदै
आठौं	आठौँ
अनुशार	अनुसार
सक्रांती	सङ्क्रान्ति
सक्रांति	सङ्क्रान्ति
संक्रान्ती	सङ्क्रान्ति
जंगल	जङ्गल
पंचांग	पञ्चाङ्ग
अक्टुबर	अक्टोबर
बिच	बीच
बिक्रम संबत	विक्रम सम्वत
प्रतेक	प्रत्येक
गुल्महरु	गुल्महरू
मद्धती	मद्दती
कडिहरु	कडिहरू
सामाजिक	समाजिक
ढुंगा	ढुङ्गा
विनास	विनाश
रुप	रूप
यतयात	यातायात
खंड	खण्ड
भासामा	भाषामा
सेनापती	सेनापति
पृथ्बी	पृथ्वी
वाहिरी	बाहिरी
विद्दुत	विद्युत
सुर्य	सूर्य
संकलन	सङ्कलन
बिश्वबिद्यालय	विश्वविद्यालय
परिपेक्ष	परिप्रेक्ष
बिध्यार्थी	विद्यार्थी
काठमाडौं	काठमाडौँ
विस्वकर्मा	विश्वकर्मा
सिंधु	सिन्धु
बिष्णु	विष्णु
अलंकारों	अलङ्कारहरू
पाँचवे	पाचौँ
कंचन	कञ्चन
देवताओं	देवताहरू
किंतु	किन्तु
स्वंय	स्वयम
आबस्तित	अवस्थित
दमाइ	दमाई
बिजोगै	विजोग नै
मानब	मानव
पर्यत्न	प्रयत्न
हुन्छा	हुन्छ
उत्पति	उत्पत्ति
सृषतिको	सृष्टीको
ब्रमाण्डको	ब्रह्माण्डको
भयको	भएको
बिकाश	विकास
देबिथान	देवीथान
अलैंची	अलैँची
आम्दानि	अाम्दानी
खोर्सानी	खुर्सानी
सुबिधा	सुविधा
अन्चल	अञ्चल
आपुर्ती	आपूर्ति
चाडपर्ब	चाडपर्व
सँस्कृती	संस्कृति
ब्याक्तिहरु	व्याक्तिहरू
भहिरहन्छ	भइरहन्छ
क्रीकेट	क्रिकेट
फुट्बल	फुटबल
सक्रान्ती	संक्रान्ति
लोकप्रीय	लोकप्रिय
हुदैछ	हुँदैछ
अत्यधिक	अत्याधिक
संख्या	सङ्ख्या
संचय	सञ्चय
पारिबारिक	पारिवारिक
परिबार	परिवार
बैज्ञानीक	वैज्ञानिक
वैज्ञानीक	वैज्ञानिक
बैज्ञानिक	वैज्ञानिक
मूल्यांकन	मूल्याङ्कन
गुणहरु	गुणहरू
बिधार्थी	विद्यार्थी
कानुन	कानून
मनिन्छा	मानिन्छ
बर्सको	वर्षको
संबेग	सम्वेग
सम्बेग	सम्वेग
बाँडियेर	बाँडिएर
भयेर	भएर
हुदैं	हुँदै
गयेर	गएर
चौड़ाई	चौडाई
तपाईँँ	तपाईँ
सन्देस	सन्देश
अत्यंत	अत्यन्त
कार्बनिक	जैविक
प्रयुक्त	प्रयोगको
अंगारहरू	अङ्गारहरू
गंधक	गन्धक
तैयार	तयार
ट्यूब	ट्युब
जूताको	जुत्ताको
बाँधने	बाध्ने
अवांछित	अवान्छित
परमावश्यक	परम आवश्यक
भंडार	भण्डार
गोंडवाना	गोन्डवाना
झरखंड	झारखण्ड
रानीगंज	रानीगञ्ज
कोयले	कोइला
कालांतरमा	कालान्तरमा
ऐंथ्रासाइट	एन्थ्रेसाइट
बिटूमिनस	बिटुमिनस
पीट	पिट
गैरमौजूदगीमा	अनुपस्थितीमा
प्रौद्योगिकी 	प्रविधि
नियंत्रित	नियन्त्रित
हों	हो
बैंकिंग	बैँकिङ
औं	औँ
पूंजी	पूँजी
गर्यो	गर्‌यो
प्राइवेट	प्राइभेट
इंटरनेशनल	इन्टरनेसनल
डाइमंड	डायमन्ड
इंडिजको	इन्डिजको
चिंताहरू	चिन्ताहरू
संबंधित	सम्बन्धित
चेयरमैन	 अध्यक्ष
विखंडन	विखण्डन
राजवंशोको	राजवंशहरूको
स्राेत	स्रोत
कनकार्इ	कन्काई
एल्बमहरु	एल्बमहरू
बाहिरी कडि	बाहिरी कडी
ऎना	ऐना
किरणहरु	किरणहरू
कुनैपनी	कुनै पनि
आनुपत्को	अनुपातको
अबधि	अवधि
लिंकहरु	लिङ्कहरू
स्प्यानिस	स्पेनी
काठमाण्डौँ	काठमाडौँ
आन्दलूसिया	आन्डलुसिया
स्तंभ	स्तम्भ
फ़	फ
ज़	ज
व़	व
ड़	ड
टापू	टापु
गुणहरु	गुणहरू
छोटकरि	छोटकरी
परमाणु संख्या	पारमाणविक संख्या
प्रसिद्द	प्रसिद्ध
यिनिहरु	यिनीहरू
यौगिकहरु	यौगिकहरू
काठमांडौ	काठमाडौँ
अरेबिक	अरबी
आंकहरु	अङ्कहरू
ाे	ो
ाै	ौ
भट्टरार्इ	भट्टराई
लार्इ	लाई
गुरागार्इं	गुरागाईँ
कामाडौं	काठमाडौँ
शेक्षिक	शैक्षिक
उप्रती	उप्रेती
हरूलार्इ	हरूलाई
पुर्याए	पुर्‌याए
रोपनि	रोपनी
प्रतिनीधित्व	प्रतिनिधित्व
दुर्इ	दुई‍
प्रसार्इं	प्रसाईँ
र्इश्वर	ईश्वर
रार्इ	राई
विद्वान्ले	विद्वानले
साहित्येतिहास	साहित्य इतिहास
साहित्ये	साहित्य
ऎ	ऐ
सिध्दाँत	सिद्धान्त
भाषाओँ	भाषाहरू
नाभिक	न्युक्लियस
उदजन	हाइड्रोजन
ड्यूटेरियम	ड्युटेरियम
न्यूट्रोन	न्युट्रोन
प्राणु	प्रोटोन
विद्युदणुओ	इलेक्ट्रोनहरू
विद्युदणु	इलेक्ट्रोन
दोनो	दुबै
कूलाम्ब	कोलम्ब
चारो तरफ	चारै तिर
चक्कर	फन्का
लगता है	लगाउँछ
होता है	हुन्छ
बिग-बैंग	बिग ब्याङ्ग
किरणो	किरणहरू
बीटा-क्षय	बिटा रेडियसन
संवेग	सम्बेग
विध्युत	विद्युत
नाभकीय	न्युक्लियर
बीटा क्षय	बिटा रेडियसन
प्रकाशाणु	फोटोन
चुंबकीय	चुम्बकीय
 नैं 	 नै 
प्रयोगहरु	प्रयोगहरू
आईंस्टाईन	आइन्सटाइन
कणहरु	कणहरू
भौतिकी	भौतिक विज्ञान
मशीन	मेसिन
इंजन	इन्जिन
इञ्जन	इन्जिन
इंग्लैण्ड	इङ्गल्यान्ड
बेल्जिअम	बेल्जियम
नीदरलैण्ड	नेदरल्यान्ड
स्विटजरलैण्ड	स्विटजरल्यान्ड
अर्जेण्टीना	अर्जेन्टिना
फ्रांस	फ्रान्स
स्वीडन	स्विडेन
यू के	संयुक्त अधिराज्य
पोर्टलैण्ड	पोर्टल्यान्ड
विश्लेषी	एनालाइटिकल
लिनुहोस्स	लेन्स
डॉयनेमो	डाइनामो
लैम्प	बत्ती
ट्रांसफार्मर	ट्रान्सफर्मर
स्टोव	स्टोभ
एयरकण्डीशनिंग	यएर कन्डिसनर
माइक्रोवेव	माइक्रोवेभ
ओवन	ओभन
कम्पैक्ट	कम्प्याक्ट
लोकोमोटिव	लोकोमोटिभ
पैराशूट	प्यारासुट
बैरोमीटर	ब्यारोमिटर
यूनान	युनान
गैलेलियो गैलिली	ग्यालिलियो ग्यालिली
थर्मामीटर	थर्मोमिटर
फरवरी	फेब्रुअरी
अक्तूबर	अक्टोबर
संवत	सम्बत्
जूलियन	जुलियन
पञ्चाग	पञ्चाङ्ग
विक्रमी सम्वत	विक्रम सम्बत
गीतहरु	गीतहरू
विस्वास	विश्वास
पत्रीका	पत्रिका
लिन्कहरू	लिङ्कहरू
लिङकहरु	लिङ्कहरू
सदश्य	सदस्य
उद्घाटन	उद्घाटन
 भेँडा 	 भेडा 
 दूध 	 दुध 
हरुको	हरूको
संकेत	सङ्केत
{{stub}}	{{ठुटो}}
[[श्रेणी:नेपाली चलचित्र]]	[[श्रेणी:नेपाली चलचित्रहरू]]
[[श्रेणी:चलचित्र]]	[[श्रेणी:चलचित्रहरू]]
[[श्रेणी:राजेश हमाल अभिनित चलचित्र]]	[[श्रेणी:राजेश हमाल अभिनित चलचित्रहरू]]
बलिवुड	बलिउड
[[आधार]]	{{आधार}}
भुमीका	भुमिका
कलाकारहरु	कलाकारहरू
चलचित्रहरु	चलचित्रहरू
ईन्टरटेनमेन्ट	इन्टरटेन्मेन्ट
अप्रैल	अप्रिल
राष्ट्रीय	राष्ट्रिय
मृतु	मृत्यु
बारहवीं	बाह्रौँ
एंटोनियो	एन्टोनियो
संतीसिमा	सन्तिसिमा
त्रिनिदाद	ट्रिनिडाड
ऊनि	उनी
वेनेजुएला	भेनेजुएला
द्धारा	द्वारा
व्दारा	द्वारा
शोवित	शोभित
के.सि.	के.सी.
 केसि 	 केसी 
सुबाश	सुवास
प्रशिद्द	प्रसिद्ध
तिमील्सिना	तिमिल्सिना
बीचार	बिचार
रूपन्देही	रुपन्देही
प्रशारण	प्रसारण
अनलाईन	अनलाइन
ईमेल	इमेल
फाईल	फाइल
ईस्लाम	इस्लाम
अनोखा	अनौठो
यहां	यहाँ
पंडित	पण्डित
गेहूं	गहुँ
अंतिम	अन्तिम
मराठों	मराठहरू
जनसांख्यिकी	जनसङ्ख्या
धर्मग्रन्थों	धर्मग्रन्थहरू
शॉपिंग	सपिङ
मॉल	मल
बाहिरी सूत्रयाँ	बाहिरी कडीहरू
ऋतुएं	ऋतुहरू
सेंटर	सेन्टर
कोहिनूर	कोहिनुर
रेजीना	रेजिना
काँम्पलेक्स	कम्प्लेक्स
हॉल	हल
अङ्ग्रेजोँ	अङ्ग्रेजहरू
विश्वविघालय	विश्वविद्यालय
विक्टोरिया	भिक्टोरिया
भीतर	भित्र
इंजीनियरिंग	इन्जिनियरिङ
इंडियन	इन्डियन
इंडस्ट्रीज	इन्डस्ट्रिज
यंत्र	यन्त्र
झांसी	झाँसी
इंदिरा	इन्दिरा
गांधी	गान्धी
टंडन	टन्डन
उनलाइ	उनलाई
विशेस	विशेष
कलापुर्ण	कलापूर्ण
राष्ट्रभासा	राष्ट्रिभाषा
नेपालि	नेपाली
यहां	यहाँ
हार्दीक	हार्दिक
शुरु	सुरु
भेंडाको	भेडाको
कहीं	कहीँ
वर्षेनि	वर्षेनी
अमेरिकि	अमेरिकी
सिद्दान्त	सिद्धान्त
टोपोलोजि	टोपोलोजी
हिन्दू	हिन्दु
हुदैन	हुँदैन
भनि	भनी
मूख्य	मुख्य
होलान	होलान् 
सहि	सही
अरु	अरू
होईन	होइन
सकिंदैन	सकिँदैन
सधै	सधैँ
भरिको	भरीको
अनुकुल	अनुकूल
ब्यक्तिहरूले	व्यक्तिहरूले
ब्यक्ति	व्यक्ति
शिकार	सिकार
निष्चित	निश्चित
सिमा	सीमा
अनिष्चितताको	अनिश्चितताको
चाहिं	चाहिँ
वुद्धिजीविले	बुद्धिजीविकले
जिविका	जीविका
जिवन	जीवन
यि	यी
बैज्ञानिक	वैज्ञानिक
मरौंला	मरौँला
प¥यो	पर्‍यो
ठूलो	ठुलो
स्वरुप	स्वरूप
हातहरु	हातहरू
करिव	करिब
प्रष्ट	प्रस्ट
काठमाडौंका	काठमाडौँका
काठमाडौंकै	काठमाडौँकै
रुपमा	रूपमा
काठमाडौंको	काठमाडौँको
झैं	झैँ
काठमाडौंमै	काठमाडौँमै
संकलन	सङ्कलन
खुशी	खुसी
अरुले	अरूले
ठूलै	ठुलै
आफैंले	आफैँले
मङ्गलबार	मङ्गलवार
संकलनका	सङ्कलनका
ब्यक्त	व्यक्त
तथ्यांक	तथ्याङ्क
भुकम्प	भूकम्प
यसैबीच	यसैबिच
राजदुत	राजदूत
बंगलादेशकी	बङ्गलादेशकी
बंगलादेशका	बङ्गलादेशका
कैयौं	कैयौँ
शनिबार	शनिवार
बंगलादेशसँग	बङ्गलादेशसँग
शनिबार	शनिवार
बंगलादेश	बङ्गलादेश
बंगलादेशकी	बङ्गलादेशकी
बंगलादेशको	बङ्गलादेशको
बंगलादेशका	बङ्गलादेशका
ठूलो	ठुलो
तथ्यांक	तथ्याङ्क
सक्छौं	सक्छौँ
